ti_nome,municipio
Jurubaxi-Téa,SANTA ISABEL DO RIO NEGRO
Ka´aguy Mirim,MIRACATU
Ka´aguy Mirim,PEDRO DE TOLEDO
Kaaguy Hovy (Tekoa Itapuã),IGUAPE
Kadiwéu,CORUMBÁ
Kadiwéu,PORTO MURTINHO
Kaingang de Iraí,IRAÍ
Kambiwá,FLORESTA
Kambiwá,IBIMIRIM
Kambiwá,INAJÁ
Kampa do Igarapé Primavera,TARAUACÁ
Kampa do Rio Amônia,MARECHAL THAUMATURGO
Kampa e Isolados do Rio Envira,FEIJÓ
Kanamari do Rio Juruá,ITAMARATI
Kanamari do Rio Juruá,PAUINI
Kanamari do Rio Juruá,EIRUNEPÉ
Kanela,FERNANDO FALCÃO
Kanela Memortumré,BARRA DO CORDA
Kanela Memortumré,FERNANDO FALCÃO
Kantaruré,GLÓRIA
Kapinawá,BUÍQUE
Kapinawá,IBIMIRIM
Kapinawá,TUPANATINGA
Karajá de Aruanã I,ARUANÃ
Karajá de Aruanã II,COCALINHO
Karajá de Aruanã III,ARUANÃ
Karajá Santana do Araguaia,SANTA MARIA DAS BARREIRAS
Karapotó,SÃO SEBASTIÃO
Kararaô,ALTAMIRA
Karipuna,NOVA MAMORÉ
Karipuna,PORTO VELHO
Kariri-Xocó,PORTO REAL DO COLÉGIO
Kariri-Xocó,SÃO BRÁS
Karitiana,PORTO VELHO
Katukina/Kaxinawá,FEIJÓ
Kawahiva do Rio Pardo,COLNIZA
Kaxarari,LÁBREA
Kaxarari,PORTO VELHO
Kaxinawá Ashaninka do Rio Breu,JORDÃO
Kaxinawá Ashaninka do Rio Breu,MARECHAL THAUMATURGO
Kaxinawá Colônia Vinte e Sete,TARAUACÁ
Kaxinawá da Praia do Carapanã,TARAUACÁ
Kaxinawá do Baixo Rio Jordão,JORDÃO
Kaxinawá do Rio Humaitá,FEIJÓ
Kaxinawá do Rio Jordão,JORDÃO
Kaxinawá Nova Olinda,FEIJÓ
Kaxinawá Seringal Independência,JORDÃO
Kaxuyana-Tunayana,FARO
Kaxuyana-Tunayana,ORIXIMINÁ
Kaxuyana-Tunayana,NHAMUNDÁ
Kayabi,JACAREACANGA
Kayabi,APIACÁS
Kayapó,BANNACH
Kayapó,CUMARU DO NORTE
Kayapó,SÃO FÉLIX DO XINGU
Kayapó,OURILÂNDIA DO NORTE
Kiriri,BANZAÊ
Koatinemo,ALTAMIRA
Koatinemo,SENADOR JOSÉ PORFÍRIO
Krahó-Kanela,LAGOA DA CONFUSÃO
Kraolandia,GOIATINS
Kraolandia,ITACAJÁ
Krenak,RESPLENDOR
Krenrehé,LUCIARA
Krenrehé,CANABRAVA DO NORTE
Krikati,AMARANTE DO MARANHÃO
Krikati,LAJEADO NOVO
Krikati,MONTES ALTOS
Krikati,SÍTIO NOVO
Krukutu,SÃO PAULO
Kulina do Medio Jurua,TARAUACÁ
Kulina do Medio Jurua,EIRUNEPÉ
Kulina do Medio Jurua,ENVIRA
Kulina do Medio Jurua,IPIXUNA
Kulina do Rio Envira,FEIJÓ
Kulina Igarapé do Pau,FEIJÓ
Kumaru do Lago Ualá,JURUÁ
Kuruáya,ALTAMIRA
Kwazá do Rio São Pedro,PARECIS
Lago Aiapua,ANORI
Lago Aiapua,BERURI
Lago Capanã,MANICORÉ
Lago do Beruri,BERURI
Lago do Correio,SANTO ANTÔNIO DO IÇÁ
Lago do Limão,BORBA
Lago do Marinheiro,CAREIRO
Lago Jauari,MANICORÉ
Lagoa  Encantada,AQUIRAZ
Lagoa Comprida,JENIPAPO DOS VIEIRAS
Lagoa dos Brincos,COMODORO
Lalima,MIRANDA
Laranjinha,ABATIÁ
Laranjinha,SANTA AMÉLIA
Las Casas,FLORESTA DO ARAGUAIA
Las Casas,PAU D´ARCO
Las Casas,REDENÇÃO
Lauro Sodré,BENJAMIN CONSTANT
Ligeiro,CHARRUA
Limão Verde,AQUIDAUANA
Macarrão,JUTAÍ
Mãe Maria,BOM JESUS DO TOCANTINS
Malacacheta,CANTÁ
